"","tract","total_population","rev","human_services1","education1","public1","religion1","oth1","arts1","health","total","ndi"
"413","188107",2355,33246833,4,1,1,0,1,0,3,9,0.0337
"414","189105",4009,9245575,14,5,7,1,7,1,1,29,-0.041
"415","189107",4825,1297598,9,2,5,2,11,3,0,27,-0.0464
"416","189108",5072,3066803,8,4,3,2,3,0,2,19,-0.047
"417","189109",3440,89753,2,2,0,0,0,0,2,6,-0.0434
"418","189110",4389,1412816,5,0,4,0,4,1,2,12,-0.0271
"419","189111",6908,4868704,6,1,2,0,3,5,1,16,-0.0516
"420","189112",3765,158043,2,0,0,0,0,1,0,3,-0.0451
"421","190502",1998,23032102,9,3,3,1,4,1,2,20,-0.0208
"422","190503",1602,35764,3,0,0,0,0,0,0,3,-0.0511
"423","190504",10687,81371,3,2,0,1,0,2,0,8,-0.0462
"424","192300",1603,22652218,12,0,9,0,14,2,0,28,-0.0273
